[INFO] Start training with config:
{
  "data_root": "/home/cislab301b/peter/ORAN-Traffic-Prediction/Dataset/colosseum-oran-coloran-dataset",
  "train_dirs": [
    "tr1-5",
    "tr7-14",
    "tr16-26"
  ],
  "val_dirs": [
    "tr0",
    "tr6",
    "tr27"
  ],
  "test_dirs": [
    "tr15"
  ],
  "slice_type": "urllc",
  "val_split": 0.2,
  "sequence_length": 30,
  "horizon": 1,
  "chunk_size": 64,
  "batch_size": 1024,
  "epochs": 100,
  "learning_rate": 0.0001,
  "weight_decay": 0.0,
  "scheduler": "cosine",
  "patience": 50,
  "seed": 42,
  "rnn_type": "bilstm",
  "lstm_hidden": 128,
  "lstm_layers": 2,
  "lstm_dropout": 0.3,
  "d_model": 128,
  "n_heads": 4,
  "n_layers": 3,
  "dim_feedforward": 512,
  "vit_dropout": 0.3,
  "lambda_smooth": 0.03,
  "loss_type": "mse",
  "weight_alpha": 4.0,
  "weight_quantile": 0.9,
  "weight_upper_quantile": 0.99,
  "lambda_ref_iqr": 104.0,
  "disable_scale_aware_lambda": false,
  "num_workers": 0,
  "device": "auto",
  "output_dir": "/home/cislab301b/peter/ORAN-Traffic-Prediction/model8/results/urllc_20260421_195120"
}
[INFO] Device: cuda
[INFO] Val trials (explicit): ['tr0', 'tr6', 'tr27']
[INFO] Slice=urllc | train_csv=1691 | val_csv=203 | test_csv=69
[INFO] Loading train CSV files...
[INFO] Loading val CSV files...
[INFO] Loading test CSV files...
[INFO] Use explicit val dirs: train=1691 val=203 (--val_split ignored)
[INFO] Train feature non-zero ratio:
  - dl_buffer: 0.0844
  - tx_brate: 0.8827
  - rx_brate: 0.2702
  - ul_sinr: 0.2546
  - dl_mcs: 0.8824
  - ul_mcs: 0.2546
  - phr: 0.2515
  - tx_pkts: 0.8827
  - rx_pkts: 0.3014
  - dl_cqi: 1.0000
  - rx_errors_ul: 0.1802
  - dl_n_samples: 0.8827
  - ul_n_samples: 0.3014
[INFO] Windows | train=3411423 val=397994 test=140561
[INFO] Input feature dimension: 13 (['dl_buffer', 'tx_brate', 'rx_brate', 'ul_sinr', 'dl_mcs', 'ul_mcs', 'phr', 'tx_pkts', 'rx_pkts', 'dl_cqi', 'rx_errors_ul', 'dl_n_samples', 'ul_n_samples'])
[INFO] lambda_smooth | base=0.030000, effective=0.030000, target_iqr=104.000000, multiplier=1.000000, scale_aware=on
/home/cislab301b/miniforge3/envs/peter/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
[INFO] loss_type=mse (unweighted)
[Epoch 001] train=3.112068 (main=3.087362, smooth=0.823509) | val=3.447509 (main=3.426865, smooth=0.688133) | lr=9.997533e-05 | time=118.05s
[INFO] Saved new best checkpoint at epoch 1.
[Epoch 002] train=2.636424 (main=2.611812, smooth=0.820394) | val=6.937224 (main=6.916497, smooth=0.690913) | lr=9.990134e-05 | time=147.67s
[Epoch 003] train=2.567512 (main=2.542967, smooth=0.818147) | val=7.449777 (main=7.429174, smooth=0.686751) | lr=9.977810e-05 | time=147.88s
[Epoch 004] train=2.582369 (main=2.557864, smooth=0.816850) | val=3.905129 (main=3.884600, smooth=0.684276) | lr=9.960574e-05 | time=150.80s
[Epoch 005] train=2.587384 (main=2.562937, smooth=0.814892) | val=4.859074 (main=4.838436, smooth=0.687927) | lr=9.938442e-05 | time=147.74s
[Epoch 006] train=2.763231 (main=2.738774, smooth=0.815242) | val=5.114579 (main=5.094038, smooth=0.684698) | lr=9.911436e-05 | time=147.14s
[Epoch 007] train=2.523587 (main=2.499179, smooth=0.813595) | val=5.108599 (main=5.087998, smooth=0.686703) | lr=9.879584e-05 | time=147.36s
[Epoch 008] train=2.555525 (main=2.531132, smooth=0.813111) | val=3.838002 (main=3.817408, smooth=0.686476) | lr=9.842916e-05 | time=148.62s
[Epoch 009] train=2.582741 (main=2.558347, smooth=0.813158) | val=4.057136 (main=4.036564, smooth=0.685723) | lr=9.801468e-05 | time=149.65s
[Epoch 010] train=2.537656 (main=2.513274, smooth=0.812720) | val=4.556147 (main=4.535547, smooth=0.686680) | lr=9.755283e-05 | time=143.72s
[Epoch 011] train=2.528555 (main=2.504195, smooth=0.811988) | val=3.122564 (main=3.102015, smooth=0.684957) | lr=9.704404e-05 | time=146.92s
[INFO] Saved new best checkpoint at epoch 11.
[Epoch 012] train=2.517136 (main=2.492785, smooth=0.811697) | val=5.739975 (main=5.719362, smooth=0.687115) | lr=9.648882e-05 | time=143.41s
[Epoch 013] train=2.522871 (main=2.498521, smooth=0.811644) | val=5.362146 (main=5.341594, smooth=0.685063) | lr=9.588773e-05 | time=143.84s
[Epoch 014] train=2.509619 (main=2.485259, smooth=0.811998) | val=3.732495 (main=3.711953, smooth=0.684734) | lr=9.524135e-05 | time=145.00s
[Epoch 015] train=2.528105 (main=2.503777, smooth=0.810951) | val=4.439985 (main=4.419371, smooth=0.687132) | lr=9.455033e-05 | time=145.55s
[Epoch 016] train=2.490037 (main=2.465714, smooth=0.810778) | val=3.507938 (main=3.487342, smooth=0.686539) | lr=9.381533e-05 | time=147.56s
[Epoch 017] train=2.504647 (main=2.480336, smooth=0.810360) | val=5.316269 (main=5.295713, smooth=0.685203) | lr=9.303710e-05 | time=149.83s
[Epoch 018] train=2.495029 (main=2.470716, smooth=0.810405) | val=5.121279 (main=5.100730, smooth=0.684963) | lr=9.221640e-05 | time=149.96s
[Epoch 019] train=2.515602 (main=2.491295, smooth=0.810237) | val=4.099158 (main=4.078621, smooth=0.684551) | lr=9.135403e-05 | time=147.57s
[Epoch 020] train=2.495314 (main=2.471024, smooth=0.809653) | val=3.015635 (main=2.995073, smooth=0.685403) | lr=9.045085e-05 | time=147.25s
[INFO] Saved new best checkpoint at epoch 20.
[Epoch 021] train=2.442517 (main=2.418228, smooth=0.809645) | val=6.014908 (main=5.994325, smooth=0.686092) | lr=8.950775e-05 | time=146.99s
[Epoch 022] train=2.495930 (main=2.471666, smooth=0.808801) | val=4.090780 (main=4.070203, smooth=0.685919) | lr=8.852566e-05 | time=150.85s
[Epoch 023] train=2.500845 (main=2.476593, smooth=0.808389) | val=5.403727 (main=5.383204, smooth=0.684086) | lr=8.750555e-05 | time=147.91s
[Epoch 024] train=2.426948 (main=2.402692, smooth=0.808536) | val=3.778915 (main=3.758323, smooth=0.686380) | lr=8.644843e-05 | time=144.99s
[Epoch 025] train=2.506014 (main=2.481744, smooth=0.809001) | val=4.151278 (main=4.130705, smooth=0.685757) | lr=8.535534e-05 | time=150.46s
[Epoch 026] train=2.467613 (main=2.443368, smooth=0.808142) | val=6.077866 (main=6.057296, smooth=0.685677) | lr=8.422736e-05 | time=144.78s
